date,code,language,url,pages,articles,edits,images,users,activeusers,admins,jobs
2026-07-15,ps,پښتو,https://ps.wikipedia.org,77136,21324,364619,1819,39432,55,3,0
2026-07-15,pt,português,https://pt.wikipedia.org,6142890,1177915,72443553,68152,3450428,7532,51,0
2026-07-15,pwn,pinayuanan,https://pwn.wikipedia.org,655,393,13067,0,2720,3,1,0
2026-07-15,qu,Runa Simi,https://qu.wikipedia.org,58767,24547,688402,0,34767,34,1,0
2026-07-15,rki,ရခိုင်,https://rki.wikipedia.org,5055,1481,19570,0,1178,13,2,0
2026-07-15,rm,rumantsch,https://rm.wikipedia.org,9863,3867,172399,48,23602,24,2,0
2026-07-15,rmy,romani čhib,https://rmy.wikipedia.org,2854,758,57307,0,19692,10,1,0
2026-07-15,rn,ikirundi,https://rn.wikipedia.org,2868,729,27866,0,11467,17,1,0
2026-07-15,ro,română,https://ro.wikipedia.org,3053418,545845,17803876,120267,760552,1707,18,0
2026-07-15,roa-tara,tarandíne,https://roa-tara.wikipedia.org,18700,9508,151057,147,13409,18,3,0
2026-07-15,rsk,руски,https://rsk.wikipedia.org,3023,1406,19903,0,2301,27,1,0
2026-07-15,ru,русский,https://ru.wikipedia.org,8531022,2109728,153665424,266575,4021944,16294,63,0
2026-07-15,rue,русиньскый,https://rue.wikipedia.org,23073,10274,166721,87,36199,38,1,0
2026-07-15,rup,armãneashti,https://roa-rup.wikipedia.org,4623,1389,209249,0,15893,10,1,0
2026-07-15,rw,Ikinyarwanda,https://rw.wikipedia.org,19265,9836,133535,0,18437,73,1,0
2026-07-15,sa,संस्कृतम्,https://sa.wikipedia.org,82603,12514,499214,445,46048,42,3,0
2026-07-15,sah,саха тыла,https://sah.wikipedia.org,55313,18212,428589,1765,29144,40,4,0
2026-07-15,sat,ᱥᱟᱱᱛᱟᱲᱤ,https://sat.wikipedia.org,33255,15529,191040,0,11183,52,2,0
2026-07-15,sc,sardu,https://sc.wikipedia.org,17774,7824,189922,157,29582,29,3,0
2026-07-15,scn,sicilianu,https://scn.wikipedia.org,55833,26310,779176,954,51079,48,4,0
2026-07-15,sco,Scots,https://sco.wikipedia.org,138510,34219,911928,416,133137,106,3,0
2026-07-15,sd,سنڌي,https://sd.wikipedia.org,83906,22002,394592,159,22241,46,4,0
